반,성명,통학_권역,1학년_평균등급,3학년_평균등급,등급_변화,G1_미인정결과,G1_미인정결석,G1_미인정조퇴,G1_미인정지각,G1_질병결과,G1_질병결석,G1_질병조퇴,G1_질병지각,G2_미인정결과,G2_미인정결석,G2_미인정조퇴,G2_미인정지각,G2_질병결과,G2_질병결석,G2_질병조퇴,G2_질병지각,G3_미인정결과,G3_미인정결석,G3_미인정조퇴,G3_미인정지각,G3_질병결과,G3_질병결석,G3_질병조퇴,G3_질병지각
3,J,Zone A (농어촌/근거리),5.0,5.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,K,Zone B (시내/중거리),2.5,2.0,,0,0,0,0,0,0,4,0,0,0,0,0,0,2,5,0,0,0,0,0,0,9,3,1
4,L,Zone C (Yongin Other),5.0,4.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
4,M,Zone B (시내/중거리),3.5,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,N,Zone A (농어촌/근거리),2.5,3.0,,0,0,0,0,0,8,1,0,0,0,0,1,0,1,1,1,0,1,52,0,0,0,0,0
4,O,Zone D (Outside Yongin),5.5,6.5,,0,0,0,0,0,0,4,3,0,0,0,1,0,15,5,6,0,2,0,0,0,12,1,2
4,P,Zone A (농어촌/근거리),5.0,5.0,,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,7,1,2
4,Q,Zone B (시내/중거리),6.0,6.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,R,Zone A (농어촌/근거리),5.0,5.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,S,Zone B (시내/중거리),3.5,4.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,T,Zone A (농어촌/근거리),6.5,7.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,U,Zone B (시내/중거리),4.5,4.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,V,Zone B (시내/중거리),6.0,5.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,W,Zone A (농어촌/근거리),3.5,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,X,Zone A (농어촌/근거리),6.5,6.5,,0,0,0,5,0,0,2,4,1,0,0,0,0,27,2,26,0,0,0,17,0,4,2,4
4,Y,Zone B (시내/중거리),4.5,5.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,Z,Zone A (농어촌/근거리),5.5,5.0,,0,0,0,0,0,6,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,7,0,0
4,A,Zone A (농어촌/근거리),4.0,4.5,,0,0,0,0,0,2,4,0,0,0,0,1,0,0,5,0,0,6,0,0,0,7,5,1
4,B,Zone A (농어촌/근거리),5.5,5.5,,0,0,0,0,0,2,6,0,0,0,0,0,0,2,3,0,0,0,0,0,0,8,4,2
4,C,Zone A (농어촌/근거리),3.5,3.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,D,Zone A (농어촌/근거리),5.5,5.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,E,Zone A (농어촌/근거리),3.5,4.0,,0,0,0,0,0,1,1,0,0,0,0,0,0,3,2,1,0,0,0,0,0,6,3,2
4,F,Zone A (농어촌/근거리),5.0,5.0,,0,0,0,0,0,4,5,16,0,0,0,0,0,8,6,6,0,31,3,1,0,15,10,4
4,G,Zone A (농어촌/근거리),6.5,7.0,,0,0,0,5,0,5,13,6,0,7,0,0,0,14,6,5,0,0,0,1,0,17,9,1
4,H,Zone A (농어촌/근거리),4.0,4.0,,0,0,0,0,0,6,1,2,0,0,0,0,0,6,6,13,0,2,0,0,0,34,9,7
4,I,Zone A (농어촌/근거리),5.0,4.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,J,Zone A (농어촌/근거리),4.0,4.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,K,Zone B (시내/중거리),5.5,5.5,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
4,L,Zone B (시내/중거리),6.5,6.5,,0,0,0,7,0,5,7,19,6,13,2,4,0,19,6,12,0,10,0,0,0,0,0,0
5,M,Zone C (Yongin Other),4.5,4.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,2,1
5,N,Zone A (농어촌/근거리),7.5,6.5,,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,28,0,0
5,O,Zone B (시내/중거리),3.5,3.0,,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,15,2,0
5,P,Zone A (농어촌/근거리),2.5,2.5,,0,0,0,0,0,14,3,1,0,0,0,0,0,5,2,3,0,0,0,0,0,37,5,1
5,Q,Zone A (농어촌/근거리),4.5,4.5,,0,0,0,0,0,1,4,1,0,0,0,0,0,2,2,0,0,0,0,0,0,2,3,0
5,R,Zone C (Yongin Other),6.0,5.5,,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,7,5,3
5,S,Zone B (시내/중거리),4.0,3.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
